Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   184	 358.14	    22.58	0	1     361.36	    3.23    383.94 	 25.81 
   188	 368.10	    19.00	-1	3     368.10	    0.00    387.10 	 19.00 
   192	 379.02	    10.27	0	4     379.28	    0.26    389.55 	 10.52 
   189	 376.90	    13.51	-1	0     376.90	    0.00    390.42 	 13.51 
   199	 390.70	     2.75	-1	0     390.70	    0.00    393.45 	  2.75 
   200	 392.29	     3.04	-1	4     392.29	    0.00    395.34 	  3.04 
   203	 394.43	     1.13	0	4     395.34	    0.91    396.47 	  2.04 
   198	 389.39	     8.84	-1	3     389.39	    0.00    398.23 	  8.84 
   205	 399.78	     2.15	-1	4     399.78	    0.00    401.93 	  2.15 
   201	 392.90	    11.36	-1	5     392.90	    0.00    404.26 	 11.36 
   202	 393.19	    13.93	0	0     393.45	    0.27    407.39 	 14.20 
   208	 403.15	     1.67	0	0     407.39	    4.24    409.06 	  5.91 
   207	 402.75	     8.19	0	5     404.26	    1.51    412.46 	  9.70 
   206	 401.87	    10.61	0	4     401.93	    0.06    412.53 	 10.66 
   197	 389.11	    25.99	-1	2     389.11	    0.00    415.10 	 25.99 
   210	 412.08	     3.27	0	5     412.46	    0.37    415.73 	  3.65 
   196	 387.04	    30.45	-1	1     387.04	    0.00    417.49 	 30.45 
   212	 420.27	     0.56	-1	1     420.27	    0.00    420.83 	  0.56 
   211	 415.47	     8.68	-1	2     415.47	    0.00    424.15 	  8.68 
   214	 422.45	     2.06	-1	4     422.45	    0.00    424.52 	  2.06 
   209	 405.71	    17.41	0	0     409.06	    3.35    426.47 	 20.76 
   215	 431.46	     0.30	-1	0     431.46	    0.00    431.76 	  0.30 
   204	 399.22	    33.17	-1	3     399.22	    0.00    432.39 	 33.17 
   217	 435.12	     0.78	-1	2     435.12	    0.00    435.89 	  0.78 
   218	 435.18	     1.55	-1	3     435.18	    0.00    436.72 	  1.55 
   220	 436.70	     2.07	-1	2     436.70	    0.00    438.77 	  2.07 
   213	 421.09	    17.93	-1	1     421.09	    0.00    439.02 	 17.93 
   221	 437.99	     1.74	-1	3     437.99	    0.00    439.73 	  1.74 
   216	 432.76	    13.34	-1	0     432.76	    0.00    446.10 	 13.34 
   225	 446.50	     0.07	-1	0     446.50	    0.00    446.57 	  0.07 
   223	 442.26	     6.12	-1	2     442.26	    0.00    448.38 	  6.12 
   226	 446.88	     2.19	-1	0     446.88	    0.00    449.07 	  2.19 
   229	 450.73	     0.97	-1	5     450.73	    0.00    451.70 	  0.97 
   219	 435.24	    18.77	-1	4     435.24	    0.00    454.01 	 18.77 
   231	 452.23	     0.98	0	4     454.01	    1.78    454.99 	  2.76 
   224	 444.12	    12.69	-1	3     444.12	    0.00    456.80 	 12.69 
   233	 454.46	     2.43	0	3     456.80	    2.35    459.23 	  4.78 
   232	 452.63	     5.14	0	4     454.99	    2.36    460.13 	  7.50 
